"playerID","yearID","lgID"
"beckejo02",2007,"AL"
"beckejo02",2009,"AL"
"beckro01",1993,"NL"
"beckro01",1994,"NL"
"beckro01",1997,"NL"
"bedrost01",1987,"NL"
"belanma01",1976,"AL"
"bellbe01",1937,"AL"
"bellbu01",1973,"AL"
"bellbu01",1980,"AL"
"bellbu01",1981,"AL"
"bellbu01",1982,"AL"
"bellbu01",1984,"AL"
"belleal01",1993,"AL"
"belleal01",1994,"AL"
"belleal01",1995,"AL"
"belleal01",1996,"AL"
"belleal01",1997,"AL"
"bellga01",1960,"AL"
"bellga01",1966,"AL"
"bellga01",1968,"AL"
"bellge02",1987,"AL"
"bellge02",1990,"AL"
"bellge02",1991,"NL"
"bellgu01",1953,"NL"
"bellgu01",1954,"NL"
"bellgu01",1956,"NL"
"bellgu01",1957,"NL"
"bellhe01",2009,"NL"
"bellhe01",2010,"NL"
"belliro01",2004,"AL"
"bellja01",1993,"NL"
"bellja01",1999,"NL"
"beltrad01",2010,"AL"
"beltrca01",2004,"NL"
"beltrca01",2005,"NL"
"beltrca01",2006,"NL"
"beltrca01",2007,"NL"
"beltrca01",2009,"NL"
"benchjo01",1968,"NL"
"benchjo01",1969,"NL"
"benchjo01",1970,"NL"
"benchjo01",1971,"NL"
"benchjo01",1972,"NL"
"benchjo01",1973,"NL"
"benchjo01",1974,"NL"
"benchjo01",1975,"NL"
"benchjo01",1976,"NL"
"benchjo01",1977,"NL"
"benchjo01",1978,"NL"
"benchjo01",1979,"NL"
"benchjo01",1980,"NL"
"benchjo01",1983,"NL"
"benedbr01",1981,"NL"
"benedbr01",1983,"NL"
"benesan01",1993,"NL"
"benitar01",2003,"NL"
"benitar01",2004,"NL"
"bentoal01",1941,"AL"
"bentoal01",1942,"AL"
"bereja01",1994,"AL"
"bergewa01",1933,"NL"
"bergewa01",1934,"NL"
"bergewa01",1935,"NL"
"bergewa01",1936,"NL"
"berkmla01",2001,"NL"
"berkmla01",2002,"NL"
"berkmla01",2004,"NL"
"berkmla01",2006,"NL"
"berkmla01",2008,"NL"
"berrayo01",1948,"AL"
"berrayo01",1949,"AL"
"berrayo01",1950,"AL"
"berrayo01",1951,"AL"
"berrayo01",1952,"AL"
"berrayo01",1953,"AL"
"berrayo01",1954,"AL"
"berrayo01",1955,"AL"
"berrayo01",1956,"AL"
"berrayo01",1957,"AL"
"berrayo01",1958,"AL"
"berrayo01",1959,"AL"
"berrayo01",1960,"AL"
"berrayo01",1961,"AL"
"berrayo01",1962,"AL"
"berryke01",1967,"AL"
"bibbyji01",1980,"NL"
"bicheda01",1994,"NL"
"bicheda01",1995,"NL"
"bicheda01",1996,"NL"
"bicheda01",1998,"NL"
"bickfve01",1949,"NL"
"biggicr01",1991,"NL"
"biggicr01",1992,"NL"
"biggicr01",1994,"NL"
"biggicr01",1995,"NL"
"biggicr01",1996,"NL"
"biggicr01",1997,"NL"
"biggicr01",1998,"NL"
"billich01",2009,"NL"
"billija01",1973,"NL"
"blackew01",1946,"NL"
"blackew01",1947,"NL"
"blackew01",1948,"NL"
"blackew01",1949,"NL"
"blackew01",1950,"NL"
"blackew01",1951,"NL"
"blairpa01",1969,"AL"
"blairpa01",1973,"AL"
"blaloha01",2003,"AL"
"blaloha01",2004,"AL"
"blantcy01",1937,"NL"
"blantcy01",1941,"NL"
"blasido01",1958,"NL"
"blassst01",1972,"NL"
"blausje01",1993,"NL"
"blausje01",1997,"NL"
"bluegos01",1935,"AL"
"bluevi01",1971,"AL"
"bluevi01",1975,"AL"
"bluevi01",1977,"AL"
"bluevi01",1978,"NL"
"bluevi01",1980,"NL"
"bluevi01",1981,"NL"
"blylebe01",1973,"AL"
"blylebe01",1985,"AL"
"bochtbr01",1979,"AL"
"boddimi01",1984,"AL"
"boggswa01",1985,"AL"
"boggswa01",1986,"AL"
"boggswa01",1987,"AL"
"boggswa01",1988,"AL"
"boggswa01",1989,"AL"
"boggswa01",1990,"AL"
"boggswa01",1991,"AL"
"boggswa01",1992,"AL"
"boggswa01",1993,"AL"
"boggswa01",1994,"AL"
"boggswa01",1995,"AL"
"boggswa01",1996,"AL"
"bollifr01",1961,"NL"
"bollifr01",1962,"NL"
"bondsba01",1990,"NL"
"bondsba01",1992,"NL"
"bondsba01",1993,"NL"
"bondsba01",1994,"NL"
"bondsba01",1995,"NL"
"bondsba01",1996,"NL"
"bondsba01",1997,"NL"
"bondsba01",1998,"NL"
"bondsba01",2000,"NL"
"bondsba01",2001,"NL"
"bondsba01",2002,"NL"
"bondsba01",2003,"NL"
"bondsba01",2004,"NL"
"bondsba01",2007,"NL"
"bondsbo01",1971,"NL"
"bondsbo01",1973,"NL"
"bondsbo01",1975,"AL"
"bonesri01",1994,"AL"
"bonhati01",1942,"AL"
"bonhati01",1943,"AL"
"bonilbo01",1988,"NL"
"bonilbo01",1989,"NL"
"bonilbo01",1990,"NL"
"bonilbo01",1991,"NL"
"bonilbo01",1993,"NL"
"bonilbo01",1995,"NL"
"booneaa01",2003,"NL"
"boonebo01",1976,"NL"
"boonebo01",1978,"NL"
"boonebo01",1979,"NL"
"boonebo01",1983,"AL"
"boonebr01",1998,"NL"
"boonebr01",2001,"AL"
"boonebr01",2003,"AL"
"boonera01",1954,"AL"
"boonera01",1956,"AL"
"bordimi01",2000,"AL"
"borowha01",1944,"AL"
"borowha01",1945,"AL"
"bottari01",1996,"NL"
"botteke01",1999,"NL"
"boudrlo01",1940,"AL"
"boudrlo01",1941,"AL"
"boudrlo01",1942,"AL"
"boudrlo01",1943,"AL"
"boudrlo01",1944,"AL"
"boudrlo01",1945,"AL"
"boudrlo01",1947,"AL"
"boudrlo01",1948,"AL"
"bournmi01",2010,"NL"
"boutoji01",1963,"AL"
"bowala01",1974,"NL"
"bowala01",1975,"NL"
"bowala01",1976,"NL"
"bowala01",1978,"NL"
"bowala01",1979,"NL"
"boyerke01",1956,"NL"
"boyerke01",1959,"NL"
"boyerke01",1960,"NL"
"boyerke01",1961,"NL"
